"model_id","datetime","variable","prediction"
"DOY",2020-10-28,"chlorophyll-a",8.30714803509372
"DOY",2020-10-29,"chlorophyll-a",8.40712304170845
"DOY",2020-10-30,"chlorophyll-a",8.5064507629654
"DOY",2020-10-31,"chlorophyll-a",8.6048652235991
"DOY",2020-11-01,"chlorophyll-a",8.70210044834411
"DOY",2020-11-02,"chlorophyll-a",8.79789046193498
"DOY",2020-11-03,"chlorophyll-a",8.89196928910626
"DOY",2020-11-04,"chlorophyll-a",8.9840709545925
"DOY",2020-11-05,"chlorophyll-a",9.07392948312825
"DOY",2020-11-06,"chlorophyll-a",9.16127889944805
"DOY",2020-11-07,"chlorophyll-a",9.24585322828647
"DOY",2020-11-08,"chlorophyll-a",9.32738649437805
"DOY",2020-11-09,"chlorophyll-a",9.40561272245734
"DOY",2020-11-10,"chlorophyll-a",9.48026593725889
"DOY",2020-11-11,"chlorophyll-a",9.55108016351725
"DOY",2020-11-12,"chlorophyll-a",9.61778942596697
"DOY",2020-11-13,"chlorophyll-a",9.6801277493426
"DOY",2020-11-14,"chlorophyll-a",9.73782915837869
"DOY",2020-11-15,"chlorophyll-a",9.7906276778098
"DOY",2020-11-16,"chlorophyll-a",9.83825733237046
"DOY",2020-11-17,"chlorophyll-a",9.88045214679524
"DOY",2020-11-18,"chlorophyll-a",9.91694614581868
"DOY",2020-11-19,"chlorophyll-a",9.94747335417533
"DOY",2020-11-20,"chlorophyll-a",9.97176779659974
"DOY",2020-11-21,"chlorophyll-a",9.98957576157237
"DOY",2020-11-22,"chlorophyll-a",10.00086369634
"DOY",2020-11-23,"chlorophyll-a",10.0057884795959
"DOY",2020-11-24,"chlorophyll-a",10.0045132690711
"DOY",2020-11-25,"chlorophyll-a",9.99720122249671
"DOY",2020-11-26,"chlorophyll-a",9.98401549760371
"DOY",2020-11-27,"chlorophyll-a",9.96511925212321
"DOY",2020-11-28,"chlorophyll-a",9.9406756437863
"DOY",2020-11-29,"chlorophyll-a",9.91084783032404
"DOY",2020-11-30,"chlorophyll-a",9.8757989694675
"DOY",2020-12-01,"chlorophyll-a",9.83569221894775
"DOY",2020-12-02,"chlorophyll-a",9.79069073649586
"DOY",2020-12-27,"chlorophyll-a",7.55210216063784
"DOY",2020-12-28,"chlorophyll-a",7.43710601155641
"DOY",2020-12-29,"chlorophyll-a",7.32162038928177
"DOY",2020-12-30,"chlorophyll-a",7.20580845154499
"DOY",2020-12-31,"chlorophyll-a",7.08983335607713
"DOY",2021-01-01,"chlorophyll-a",8.53637698364635
"DOY",2021-01-02,"chlorophyll-a",8.65395816294789
"DOY",2021-01-03,"chlorophyll-a",8.77144196218512
"DOY",2021-01-04,"chlorophyll-a",8.88873100129372
"DOY",2021-01-05,"chlorophyll-a",9.00572790020937
"DOY",2021-01-06,"chlorophyll-a",9.12233527886774
"DOY",2021-01-07,"chlorophyll-a",9.23845575720454
"DOY",2021-01-08,"chlorophyll-a",9.35399195515543
"DOY",2021-01-09,"chlorophyll-a",9.46884649265611
"DOY",2021-01-10,"chlorophyll-a",9.58292198964226
"DOY",2021-01-11,"chlorophyll-a",9.69612106604955
"DOY",2021-01-12,"chlorophyll-a",9.80834634181368
"DOY",2021-01-13,"chlorophyll-a",9.91950043687032
"DOY",2021-01-14,"chlorophyll-a",10.0294859711552
"DOY",2021-01-15,"chlorophyll-a",10.1382055646039
"DOY",2021-01-16,"chlorophyll-a",10.2455618371522
"DOY",2021-01-17,"chlorophyll-a",10.3514574087357
"DOY",2021-01-18,"chlorophyll-a",10.4557948992902
"DOY",2021-01-19,"chlorophyll-a",10.5584769287513
"DOY",2021-01-20,"chlorophyll-a",10.6594061170547
"DOY",2021-01-21,"chlorophyll-a",10.758485084136
"DOY",2021-01-22,"chlorophyll-a",10.8556164499311
"DOY",2021-01-23,"chlorophyll-a",10.9507028343754
"DOY",2021-01-24,"chlorophyll-a",11.0436468574049
"DOY",2021-01-25,"chlorophyll-a",11.134351138955
"DOY",2021-01-26,"chlorophyll-a",11.2227182989615
"DOY",2021-01-27,"chlorophyll-a",11.3086509573601
"DOY",2021-01-28,"chlorophyll-a",11.3920517340865
"DOY",2021-01-29,"chlorophyll-a",11.4728232490763
"DOY",2021-01-30,"chlorophyll-a",11.5508681222653
"DOY",2021-01-31,"chlorophyll-a",11.6260889735891
"DOY",2021-02-01,"chlorophyll-a",11.6983884229834
"DOY",2021-02-02,"chlorophyll-a",11.7676690903838
"DOY",2021-02-03,"chlorophyll-a",11.8338335957261
"DOY",2021-02-04,"chlorophyll-a",11.896784558946
"DOY",2021-02-05,"chlorophyll-a",11.9564245999791
"DOY",2021-02-06,"chlorophyll-a",12.0126563387611
"DOY",2021-02-07,"chlorophyll-a",12.0653823952277
"DOY",2021-02-08,"chlorophyll-a",12.1145053893146
"DOY",2021-02-09,"chlorophyll-a",12.1599279409575
"DOY",2021-02-10,"chlorophyll-a",12.201552670092
"DOY",2021-02-11,"chlorophyll-a",12.2392850475124
"DOY",2021-02-12,"chlorophyll-a",12.2731170052068
"DOY",2021-02-13,"chlorophyll-a",12.3031404333908
"DOY",2021-02-14,"chlorophyll-a",12.329452790363
"DOY",2021-02-15,"chlorophyll-a",12.3521515344219
"DOY",2021-02-16,"chlorophyll-a",12.3713341238662
"DOY",2021-02-17,"chlorophyll-a",12.3870980169945
"DOY",2021-02-18,"chlorophyll-a",12.3995406721054
"DOY",2021-02-19,"chlorophyll-a",12.4087595474974
"DOY",2021-02-20,"chlorophyll-a",12.4148521014692
"DOY",2021-02-21,"chlorophyll-a",12.4179157923194
"DOY",2021-02-22,"chlorophyll-a",12.4180480783465
"DOY",2021-02-23,"chlorophyll-a",12.4153464178492
"DOY",2021-02-24,"chlorophyll-a",12.4099082691261
"DOY",2021-02-25,"chlorophyll-a",12.4018310904757
"DOY",2021-02-26,"chlorophyll-a",12.3912123401967
"DOY",2021-02-27,"chlorophyll-a",12.3781494765876
"DOY",2021-02-28,"chlorophyll-a",12.3627399579471
"DOY",2021-03-01,"chlorophyll-a",12.3450812425738
"DOY",2021-03-02,"chlorophyll-a",12.3252707887662
"DOY",2021-03-03,"chlorophyll-a",12.303406054823
"DOY",2021-03-04,"chlorophyll-a",12.2795844990427
"DOY",2021-03-05,"chlorophyll-a",12.253903579724
"DOY",2021-03-06,"chlorophyll-a",12.2264607551654
"DOY",2021-03-07,"chlorophyll-a",12.1973534836656
"DOY",2021-03-08,"chlorophyll-a",12.1666792235232
"DOY",2021-03-09,"chlorophyll-a",12.1345354330366
"DOY",2021-03-10,"chlorophyll-a",12.1010195705047
"DOY",2021-03-11,"chlorophyll-a",12.0662290942258
"DOY",2021-03-12,"chlorophyll-a",12.0302614624988
"DOY",2021-03-13,"chlorophyll-a",11.993214133622
"DOY",2021-03-14,"chlorophyll-a",11.9551845658942
"DOY",2021-03-15,"chlorophyll-a",11.916270217614
"DOY",2021-03-16,"chlorophyll-a",11.8765685470799
"DOY",2021-03-17,"chlorophyll-a",11.8361770125905
"DOY",2021-03-18,"chlorophyll-a",11.7951930724445
"DOY",2021-03-19,"chlorophyll-a",11.7537141849404
"DOY",2021-03-20,"chlorophyll-a",11.7118378083768
"DOY",2021-03-21,"chlorophyll-a",11.6696614010524
"DOY",2021-03-22,"chlorophyll-a",11.6272824212657
"DOY",2021-03-23,"chlorophyll-a",11.5847983273153
"DOY",2021-03-24,"chlorophyll-a",11.5422804241016
"DOY",2021-03-25,"chlorophyll-a",11.4996536698723
"DOY",2021-03-26,"chlorophyll-a",11.4567921463424
"DOY",2021-03-27,"chlorophyll-a",11.4135698841464
"DOY",2021-03-28,"chlorophyll-a",11.3698609139184
"DOY",2021-03-29,"chlorophyll-a",11.3255392662927
"DOY",2021-03-30,"chlorophyll-a",11.2804789719035
"DOY",2021-03-31,"chlorophyll-a",11.2345540613853
"DOY",2021-04-01,"chlorophyll-a",11.1876385653721
"DOY",2021-04-02,"chlorophyll-a",11.1396065144984
"DOY",2021-04-03,"chlorophyll-a",11.0903319393983
"DOY",2021-04-04,"chlorophyll-a",11.0396888707061
"DOY",2021-04-05,"chlorophyll-a",10.9875513390561
"DOY",2021-04-06,"chlorophyll-a",10.9337933750826
"DOY",2021-04-07,"chlorophyll-a",10.8782890094199
"DOY",2021-04-08,"chlorophyll-a",10.8209122727021
"DOY",2021-04-09,"chlorophyll-a",10.7615371955636
"DOY",2021-04-10,"chlorophyll-a",10.7000378086386
"DOY",2021-04-11,"chlorophyll-a",10.6362881425615
"DOY",2021-04-12,"chlorophyll-a",10.5701622279664
"DOY",2021-04-13,"chlorophyll-a",10.5015340954877
"DOY",2021-04-14,"chlorophyll-a",10.4302777757596
"DOY",2021-04-15,"chlorophyll-a",10.3562672994164
"DOY",2021-04-16,"chlorophyll-a",10.2793766970924
"DOY",2021-04-17,"chlorophyll-a",10.1994799994218
"DOY",2021-04-18,"chlorophyll-a",10.1164512370388
"DOY",2021-04-19,"chlorophyll-a",10.0301644405779
"DOY",2021-04-20,"chlorophyll-a",9.94049364067316
"DOY",2021-04-21,"chlorophyll-a",9.84731286795893
"DOY",2021-04-22,"chlorophyll-a",9.75049615306948
"DOY",2021-04-23,"chlorophyll-a",9.64991752663906
"DOY",2021-04-24,"chlorophyll-a",9.54545101930196
"DOY",2021-04-25,"chlorophyll-a",9.43697066169243
"DOY",2021-04-26,"chlorophyll-a",9.32435048444475
"DOY",2021-04-27,"chlorophyll-a",9.20746451819319
"DOY",2021-04-28,"chlorophyll-a",9.08618679357201
"DOY",2021-04-29,"chlorophyll-a",8.96039134121549
"DOY",2021-04-30,"chlorophyll-a",8.82995219175789
"DOY",2021-05-01,"chlorophyll-a",8.69474337583349
"DOY",2021-05-02,"chlorophyll-a",8.55463892407654
"DOY",2021-05-03,"chlorophyll-a",8.4095168844575
"DOY",2021-05-04,"chlorophyll-a",8.25949634511715
"DOY",2021-05-05,"chlorophyll-a",8.10507000646032
"DOY",2021-05-06,"chlorophyll-a",7.9467627075812
"DOY",2021-05-07,"chlorophyll-a",7.78509928757399
"DOY",2021-05-08,"chlorophyll-a",7.62060458553291
"DOY",2021-05-09,"chlorophyll-a",7.45380344055215
"DOY",2021-05-10,"chlorophyll-a",7.28522069172591
"DOY",2021-05-11,"chlorophyll-a",7.11538117814839
"DOY",2021-05-12,"chlorophyll-a",6.9448097389138
"DOY",2021-05-13,"chlorophyll-a",6.77403121311634
"DOY",2021-05-14,"chlorophyll-a",6.60357043985022
"DOY",2021-05-15,"chlorophyll-a",6.43395225820962
"DOY",2021-05-16,"chlorophyll-a",6.26570150728876
"DOY",2021-05-17,"chlorophyll-a",6.09934302618184
"DOY",2021-05-18,"chlorophyll-a",5.93540165398306
"DOY",2021-05-19,"chlorophyll-a",5.77440222978661
"DOY",2021-05-20,"chlorophyll-a",5.61686959268672
"DOY",2021-05-21,"chlorophyll-a",5.46332858177756
"DOY",2021-05-22,"chlorophyll-a",5.31430403615335
"DOY",2021-05-23,"chlorophyll-a",5.17032079490829
"DOY",2021-05-24,"chlorophyll-a",5.03190369713658
"DOY",2021-05-25,"chlorophyll-a",4.89957758193243
"DOY",2021-05-26,"chlorophyll-a",4.77386728839003
"DOY",2021-05-27,"chlorophyll-a",4.65529765560359
"DOY",2021-05-28,"chlorophyll-a",4.5443935226673
"DOY",2021-05-29,"chlorophyll-a",4.44167972867538
"DOY",2021-05-30,"chlorophyll-a",4.34768111272202
"DOY",2021-05-31,"chlorophyll-a",4.26292251390142
"DOY",2021-06-01,"chlorophyll-a",4.18792877130779
"DOY",2021-06-02,"chlorophyll-a",4.12322472403533
"DOY",2021-06-03,"chlorophyll-a",4.06933521117824
"DOY",2021-06-04,"chlorophyll-a",4.02678507183073
"DOY",2021-06-05,"chlorophyll-a",3.99609914508698
"DOY",2021-06-06,"chlorophyll-a",3.97780227004122
"DOY",2021-06-07,"chlorophyll-a",3.97241928578763
"DOY",2021-06-08,"chlorophyll-a",3.98047503142043
"DOY",2021-06-09,"chlorophyll-a",4.00249434603381
"DOY",2021-06-10,"chlorophyll-a",4.03900206872197
"DOY",2021-06-11,"chlorophyll-a",4.09052303857912
"DOY",2021-06-12,"chlorophyll-a",4.15758209469945
"DOY",2021-06-13,"chlorophyll-a",4.2406005636383
"DOY",2021-06-14,"chlorophyll-a",4.33917770735646
"DOY",2021-06-15,"chlorophyll-a",4.45252076802462
"DOY",2021-06-18,"chlorophyll-a",4.87319373056983
"DOY",2021-06-19,"chlorophyll-a",5.03764873787871
"DOY",2021-06-20,"chlorophyll-a",5.21289380155794
"DOY",2021-06-21,"chlorophyll-a",5.3981337494916
"DOY",2021-06-22,"chlorophyll-a",5.59257340956375
"DOY",2021-06-23,"chlorophyll-a",5.79541760965846
"DOY",2021-06-24,"chlorophyll-a",6.00587117765981
"DOY",2021-06-25,"chlorophyll-a",6.22313894145187
"DOY",2021-06-26,"chlorophyll-a",6.44642572891869
"DOY",2021-06-27,"chlorophyll-a",6.67493636794436
"DOY",2021-06-28,"chlorophyll-a",6.90787568641294
"DOY",2021-06-29,"chlorophyll-a",7.14444851220851
"DOY",2021-06-30,"chlorophyll-a",7.38385967321513
"DOY",2021-07-01,"chlorophyll-a",7.62531399731687
"DOY",2021-07-02,"chlorophyll-a",7.86801631239781
"DOY",2021-07-03,"chlorophyll-a",8.11117144634201
"DOY",2021-07-04,"chlorophyll-a",8.35398422703355
"DOY",2021-07-05,"chlorophyll-a",8.59565948235648
"DOY",2021-07-06,"chlorophyll-a",8.83540204019489
"DOY",2021-07-07,"chlorophyll-a",9.07241672843285
"DOY",2021-07-08,"chlorophyll-a",9.30590837495441
"DOY",2021-07-09,"chlorophyll-a",9.53508180764367
"DOY",2021-07-10,"chlorophyll-a",9.75914185438467
"DOY",2021-07-11,"chlorophyll-a",9.97729334306149
"DOY",2021-07-12,"chlorophyll-a",10.1887411015582
"DOY",2021-07-13,"chlorophyll-a",10.3926899577589
"DOY",2021-07-14,"chlorophyll-a",10.5883447395476
"DOY",2021-07-15,"chlorophyll-a",10.7749102748084
"DOY",2021-07-16,"chlorophyll-a",10.9515913914254
"DOY",2021-07-17,"chlorophyll-a",11.1175929172826
"DOY",2021-07-18,"chlorophyll-a",11.2721196802642
"DOY",2021-07-19,"chlorophyll-a",11.4143765082541
"DOY",2021-07-20,"chlorophyll-a",11.5435682291365
"DOY",2021-07-21,"chlorophyll-a",11.6588996707954
"DOY",2021-07-22,"chlorophyll-a",11.7595756611149
"DOY",2021-07-23,"chlorophyll-a",11.8448034608614
"DOY",2021-07-24,"chlorophyll-a",11.9141853700666
"DOY",2021-07-25,"chlorophyll-a",11.9681520851899
"DOY",2021-07-26,"chlorophyll-a",12.0072386125194
"DOY",2021-07-27,"chlorophyll-a",12.0319799583434
"DOY",2021-07-28,"chlorophyll-a",12.0429111289503
"DOY",2021-07-29,"chlorophyll-a",12.0405671306283
"DOY",2021-07-30,"chlorophyll-a",12.0254829696657
"DOY",2021-07-31,"chlorophyll-a",11.9981936523508
"DOY",2021-08-01,"chlorophyll-a",11.9592341849719
"DOY",2021-08-02,"chlorophyll-a",11.9091395738174
"DOY",2021-08-03,"chlorophyll-a",11.8484448251754
"DOY",2021-08-04,"chlorophyll-a",11.7776849453342
"DOY",2021-08-05,"chlorophyll-a",11.6973949405823
"DOY",2021-08-06,"chlorophyll-a",11.6081098172078
"DOY",2021-08-07,"chlorophyll-a",11.510364581499
"DOY",2021-08-08,"chlorophyll-a",11.4046942397443
"DOY",2021-08-09,"chlorophyll-a",11.2916337982319
"DOY",2021-08-10,"chlorophyll-a",11.1717182632502
"DOY",2021-08-11,"chlorophyll-a",11.0454826410873
"DOY",2021-08-12,"chlorophyll-a",10.9134619380317
"DOY",2021-08-13,"chlorophyll-a",10.7761911603715
"DOY",2021-08-14,"chlorophyll-a",10.6342053143952
"DOY",2021-08-15,"chlorophyll-a",10.4880394063909
"DOY",2021-08-16,"chlorophyll-a",10.338228442647
"DOY",2021-08-17,"chlorophyll-a",10.1853074294517
"DOY",2021-08-18,"chlorophyll-a",10.0298113730934
"DOY",2021-08-19,"chlorophyll-a",9.87227527986034
"DOY",2021-08-20,"chlorophyll-a",9.71323415604082
"DOY",2021-08-21,"chlorophyll-a",9.55322300792312
"DOY",2021-08-22,"chlorophyll-a",9.39277684179554
"DOY",2021-08-23,"chlorophyll-a",9.23243066394637
"DOY",2021-08-24,"chlorophyll-a",9.0727194806639
"DOY",2021-08-25,"chlorophyll-a",8.91417829823642
"DOY",2021-08-26,"chlorophyll-a",8.75734212295222
"DOY",2021-08-27,"chlorophyll-a",8.6027459610996
"DOY",2021-08-28,"chlorophyll-a",8.45092481896684
"DOY",2021-08-29,"chlorophyll-a",8.30241370284223
"DOY",2021-08-30,"chlorophyll-a",8.15774761901408
"DOY",2021-08-31,"chlorophyll-a",8.01746157377066
"DOY",2021-09-01,"chlorophyll-a",7.88209057340027
"DOY",2021-09-02,"chlorophyll-a",7.75214142809792
"DOY",2021-09-03,"chlorophyll-a",7.62779316847417
"DOY",2021-09-04,"chlorophyll-a",7.50901335443994
"DOY",2021-09-05,"chlorophyll-a",7.39576602139451
"DOY",2021-09-06,"chlorophyll-a",7.28801520473712
"DOY",2021-09-07,"chlorophyll-a",7.18572493986706
"DOY",2021-09-08,"chlorophyll-a",7.08885926218357
"DOY",2021-09-09,"chlorophyll-a",6.99738220708594
"DOY",2021-09-10,"chlorophyll-a",6.91125780997341
"DOY",2021-09-11,"chlorophyll-a",6.83045010624526
"DOY",2021-09-12,"chlorophyll-a",6.75492313130075
"DOY",2021-09-13,"chlorophyll-a",6.68464092053914
"DOY",2021-09-14,"chlorophyll-a",6.6195675093597
"DOY",2021-09-15,"chlorophyll-a",6.55966693316169
"DOY",2021-09-16,"chlorophyll-a",6.50490322734437
"DOY",2021-09-17,"chlorophyll-a",6.45524042730702
"DOY",2021-09-18,"chlorophyll-a",6.41064256844889
"DOY",2021-09-19,"chlorophyll-a",6.37107368616925
"DOY",2021-09-20,"chlorophyll-a",6.33649781586736
"DOY",2021-09-21,"chlorophyll-a",6.30687899294248
"DOY",2021-09-22,"chlorophyll-a",6.28218125279389
"DOY",2021-09-23,"chlorophyll-a",6.26236863082084
"DOY",2021-09-24,"chlorophyll-a",6.2474051624226
"DOY",2021-09-25,"chlorophyll-a",6.23725488299843
"DOY",2021-09-26,"chlorophyll-a",6.23188182794761
"DOY",2021-09-27,"chlorophyll-a",6.23125003266938
"DOY",2021-09-28,"chlorophyll-a",6.23532353256302
"DOY",2021-09-29,"chlorophyll-a",6.2440663630278
"DOY",2021-09-30,"chlorophyll-a",6.25744255946296
"DOY",2021-10-01,"chlorophyll-a",6.27541615726778
"DOY",2021-10-02,"chlorophyll-a",6.29795119184153
"DOY",2021-10-03,"chlorophyll-a",6.32501169858346
"DOY",2021-10-04,"chlorophyll-a",6.35656171289285
"DOY",2021-10-05,"chlorophyll-a",6.39256527016895
"DOY",2021-10-06,"chlorophyll-a",6.43298640581103
"DOY",2021-10-07,"chlorophyll-a",6.47778915521835
"DOY",2021-10-08,"chlorophyll-a",6.52693755379019
"DOY",2021-10-09,"chlorophyll-a",6.58039563692579
"DOY",2021-10-10,"chlorophyll-a",6.63812744002443
"DOY",2021-10-11,"chlorophyll-a",6.70009699848537
"DOY",2021-10-12,"chlorophyll-a",6.76626829512199
"DOY",2021-10-13,"chlorophyll-a",6.83655293720536
"DOY",2021-10-14,"chlorophyll-a",6.91071187344358
"DOY",2021-10-15,"chlorophyll-a",6.98847912857121
"DOY",2021-10-16,"chlorophyll-a",7.0695887273228
"DOY",2021-10-17,"chlorophyll-a",7.15377469443289
"DOY",2021-10-18,"chlorophyll-a",7.24077105463604
"DOY",2021-10-19,"chlorophyll-a",7.33031183266679
"DOY",2021-10-20,"chlorophyll-a",7.4221310532597
"DOY",2021-10-21,"chlorophyll-a",7.51596274114932
"DOY",2021-10-22,"chlorophyll-a",7.61154092107019
"DOY",2021-10-23,"chlorophyll-a",7.70859961775687
"DOY",2021-10-24,"chlorophyll-a",7.80687285594391
"DOY",2021-10-25,"chlorophyll-a",7.90609466036586
"DOY",2021-10-26,"chlorophyll-a",8.00599905575726
"DOY",2021-10-27,"chlorophyll-a",8.10632006685267
"DOY",2021-10-28,"chlorophyll-a",8.20679171838664
"DOY",2021-10-29,"chlorophyll-a",8.30714803509372
"DOY",2021-10-30,"chlorophyll-a",8.40712304170845
"DOY",2021-10-31,"chlorophyll-a",8.5064507629654
"DOY",2021-11-01,"chlorophyll-a",8.6048652235991
"DOY",2021-11-02,"chlorophyll-a",8.70210044834411
"DOY",2021-11-03,"chlorophyll-a",8.79789046193498
"DOY",2021-11-04,"chlorophyll-a",8.89196928910626
"DOY",2021-11-05,"chlorophyll-a",8.9840709545925
"DOY",2021-11-06,"chlorophyll-a",9.07392948312825
"DOY",2021-11-07,"chlorophyll-a",9.16127889944805
"DOY",2021-11-08,"chlorophyll-a",9.24585322828647
"DOY",2021-11-09,"chlorophyll-a",9.32738649437805
"DOY",2021-11-10,"chlorophyll-a",9.40561272245734
"DOY",2021-11-11,"chlorophyll-a",9.48026593725889
"DOY",2021-11-12,"chlorophyll-a",9.55108016351725
"DOY",2021-11-13,"chlorophyll-a",9.61778942596697
"DOY",2021-11-14,"chlorophyll-a",9.6801277493426
"DOY",2021-11-15,"chlorophyll-a",9.73782915837869
"DOY",2021-11-16,"chlorophyll-a",9.7906276778098
"DOY",2021-11-17,"chlorophyll-a",9.83825733237046
"DOY",2021-11-18,"chlorophyll-a",9.88045214679524
"DOY",2021-11-19,"chlorophyll-a",9.91694614581868
"DOY",2021-11-20,"chlorophyll-a",9.94747335417533
"DOY",2021-11-21,"chlorophyll-a",9.97176779659974
"DOY",2021-11-22,"chlorophyll-a",9.98957576157237
"DOY",2021-11-23,"chlorophyll-a",10.00086369634
"DOY",2021-11-24,"chlorophyll-a",10.0057884795959
"DOY",2021-11-25,"chlorophyll-a",10.0045132690711
"DOY",2021-11-26,"chlorophyll-a",9.99720122249671
"DOY",2021-11-27,"chlorophyll-a",9.98401549760371
"DOY",2021-11-28,"chlorophyll-a",9.96511925212321
"DOY",2021-11-29,"chlorophyll-a",9.9406756437863
"DOY",2021-11-30,"chlorophyll-a",9.91084783032404
"DOY",2021-12-01,"chlorophyll-a",9.8757989694675
"DOY",2021-12-02,"chlorophyll-a",9.83569221894775
"DOY",2021-12-03,"chlorophyll-a",9.79069073649586
"DOY",2021-12-04,"chlorophyll-a",9.74095767984291
"DOY",2021-12-05,"chlorophyll-a",9.68665620671997
"DOY",2021-12-06,"chlorophyll-a",9.62794947485811
"DOY",2021-12-07,"chlorophyll-a",9.56500064198839
"DOY",2021-12-08,"chlorophyll-a",9.4979728658419
"DOY",2021-12-09,"chlorophyll-a",9.42702930414969
"DOY",2021-12-10,"chlorophyll-a",9.35233311464285
"DOY",2021-12-11,"chlorophyll-a",9.27404745505244
"DOY",2021-12-12,"chlorophyll-a",9.19233548310953
"DOY",2021-12-13,"chlorophyll-a",9.10736035654521
"DOY",2021-12-14,"chlorophyll-a",9.01928523309053
"DOY",2021-12-15,"chlorophyll-a",8.92827327047656
"DOY",2021-12-16,"chlorophyll-a",8.8344876264344
"DOY",2021-12-17,"chlorophyll-a",8.73809145869508
"DOY",2021-12-18,"chlorophyll-a",8.63924792498971
"DOY",2021-12-19,"chlorophyll-a",8.53812018304933
"DOY",2021-12-20,"chlorophyll-a",8.43487139060503
"DOY",2021-12-21,"chlorophyll-a",8.32966470538787
"DOY",2021-12-22,"chlorophyll-a",8.22266328512893
"DOY",2021-12-23,"chlorophyll-a",8.11403028755928
"DOY",2021-12-24,"chlorophyll-a",8.00392887040999
"DOY",2021-12-25,"chlorophyll-a",7.89252219141213
"DOY",2021-12-26,"chlorophyll-a",7.77997340829677
"DOY",2021-12-27,"chlorophyll-a",7.66644567879498
"DOY",2021-12-28,"chlorophyll-a",7.55210216063784
"DOY",2021-12-29,"chlorophyll-a",7.43710601155641
"DOY",2021-12-30,"chlorophyll-a",7.32162038928177
"DOY",2021-12-31,"chlorophyll-a",7.20580845154499
